Date;Open;High;Low;Close;Adj Close;Volume;ret;tret;Adj Low;Adj High;Adj Open;Returns;Target;Vol;MM20;Detrend
2023-08-28;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-08-29;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-08-30;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-08-31;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-01;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-04;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-05;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-06;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-08;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-11;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-12;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-13;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-14;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-15;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-18;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-19;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-20;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-21;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-22;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-25;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-26;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-27;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-28;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-09-29;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-02;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-03;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-04;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-05;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-06;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-09;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-10;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-11;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-13;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-16;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-17;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-18;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-19;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-20;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-23;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-24;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-25;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-26;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-27;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-30;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-10-31;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-01;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-03;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-06;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-07;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-08;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-09;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-10;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-13;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-14;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-16;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-17;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-20;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-21;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-22;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-23;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-24;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-27;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-28;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-29;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-11-30;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-01;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-04;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-05;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-06;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-07;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-08;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-11;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-12;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-13;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-14;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-15;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-18;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-19;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-20;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-21;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-22;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-26;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-27;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2023-12-28;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-02;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-03;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-04;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-05;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-08;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-09;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-10;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-11;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-12;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-15;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-16;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-17;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-18;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-19;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-22;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-23;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-24;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-25;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-26;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-29;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-30;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-01-31;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-01;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-02;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-05;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-06;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-07;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-08;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-09;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-14;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-15;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-16;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-19;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-20;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-21;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-22;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-23;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-26;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-27;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-28;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-02-29;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-03-01;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-03-04;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-03-05;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-03-06;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-03-07;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-03-08;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
2024-03-11;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;1.559999942779541;0;0.0;0.0;1.559999942779541;1.559999942779541;1.559999942779541;0.0;0.0;0.0;1.559999942779541;0.0
