;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;23/02/2026;0,2163;JRS CAP PROPRIO;05/03/2026							  ;1;BBAS3
128;21/06/2011;0,2575;JRS CAP PRÓPRIO;-							  ;1;BBAS3
129;19/05/2011;0,1570;DIVIDENDO;-							  ;1;BBAS3
130;22/03/2011;0,2531;JRS CAP PRÓPRIO;-							  ;1;BBAS3
131;21/02/2011;0,3207;DIVIDENDO;-							  ;1;BBAS3
132;22/12/2010;0,2397;JRS CAP PRÓPRIO;-							  ;1;BBAS3
133;22/11/2010;0,1314;DIVIDENDO;-							  ;1;BBAS3
134;22/09/2010;0,2356;JRS CAP PRÓPRIO;-							  ;1;BBAS3
135;18/08/2010;0,1974;DIVIDENDO;-							  ;1;BBAS3
136;24/05/2010;0,2045;JRS CAP PRÓPRIO;-							  ;1;BBAS3
137;21/05/2010;0,1729;DIVIDENDO;-							  ;1;BBAS3
138;24/03/2010;0,2017;JRS CAP PRÓPRIO;-							  ;1;BBAS3
139;25/02/2010;0,4612;DIVIDENDO;-							  ;1;BBAS3
140;21/12/2009;0,1862;JRS CAP PRÓPRIO;-							  ;1;BBAS3
141;12/11/2009;0,1229;DIVIDENDO;-							  ;1;BBAS3
142;21/09/2009;0,1854;JRS CAP PRÓPRIO;-							  ;1;BBAS3
143;13/08/2009;0,1882;DIVIDENDO;-							  ;1;BBAS3
144;22/06/2009;0,1777;JRS CAP PRÓPRIO;-							  ;1;BBAS3
145;14/05/2009;0,0851;DIVIDENDO;-							  ;1;BBAS3
146;23/03/2009;0,1744;JRS CAP PRÓPRIO;-							  ;1;BBAS3
147;19/02/2009;0,2991;DIVIDENDO;-							  ;1;BBAS3
148;22/12/2008;0,1600;JRS CAP PRÓPRIO;-							  ;1;BBAS3
149;13/11/2008;0,1341;DIVIDENDO;-							  ;1;BBAS3
150;23/09/2008;0,1597;JRS CAP PRÓPRIO;-							  ;1;BBAS3
151;15/08/2008;0,1159;DIVIDENDO;-							  ;1;BBAS3
152;23/06/2008;0,1428;JRS CAP PRÓPRIO;-							  ;1;BBAS3
153;14/05/2008;0,2242;DIVIDENDO;-							  ;1;BBAS3
154;20/03/2008;0,1451;JRS CAP PRÓPRIO;-							  ;1;BBAS3
155;26/02/2008;0,0532;DIVIDENDO;-							  ;1;BBAS3
156;21/12/2007;0,1400;JRS CAP PRÓPRIO;-							  ;1;BBAS3
157;13/11/2007;0,0857;DIVIDENDO;-							  ;1;BBAS3
158;21/09/2007;0,1346;JRS CAP PRÓPRIO;-							  ;1;BBAS3
159;14/08/2007;0,0390;DIVIDENDO;-							  ;1;BBAS3
160;21/06/2007;0,1336;JRS CAP PRÓPRIO;-							  ;1;BBAS3
161;15/05/2007;0,2938;DIVIDENDO;-							  ;1;BBAS3
162;21/03/2007;0,3890;JRS CAP PRÓPRIO;-							  ;1;BBAS3
163;27/02/2007;0,2191;DIVIDENDO;-							  ;1;BBAS3
164;21/12/2006;0,8256;JRS CAP PRÓPRIO;-							  ;1;BBAS3
165;14/08/2006;1,0566;DIVIDENDO;-							  ;1;BBAS3
166;14/08/2006;0,8492;JRS CAP PRÓPRIO;-							  ;1;BBAS3
167;19/04/2006;0,9412;DIVIDENDO;-							  ;1;BBAS3
168;20/02/2006;0,9255;JRS CAP PRÓPRIO;-							  ;1;BBAS3
169;20/02/2006;0,1627;DIVIDENDO;-							  ;1;BBAS3
170;15/08/2005;0,7858;JRS CAP PRÓPRIO;-							  ;1;BBAS3
171;21/02/2005;0,2819;JRS CAP PRÓPRIO;-							  ;1;BBAS3
172;22/12/2004;0,3490;JRS CAP PRÓPRIO;-							  ;1;BBAS3
173;17/08/2004;0,6147;JRS CAP PRÓPRIO;-							  ;1;BBAS3
174;17/02/2004;0,5789;JRS CAP PRÓPRIO;-							  ;1;BBAS3
175;14/08/2003;0,4398;JRS CAP PRÓPRIO;-							  ;1000;BBAS3
176;11/02/2003;0,3717;DIVIDENDO;-							  ;1000;BBAS3
177;27/08/2002;0,4136;DIVIDENDO;-							  ;1000;BBAS3
178;26/02/2002;0,2534;DIVIDENDO;-							  ;1000;BBAS3
179;24/08/2001;0,1036;DIVIDENDO;-							  ;1000;BBAS3
180;13/02/2001;0,1992;DIVIDENDO;-							  ;1000;BBAS3
181;08/08/2000;0,1479;JRS CAP PRÓPRIO;-							  ;1000;BBAS3
182;17/03/2000;0,1011;JRS CAP PRÓPRIO;-							  ;1000;BBAS3
183;26/07/1999;0,2159;JRS CAP PRÓPRIO;-							  ;1000;BBAS3
184;08/02/1999;0,1763;JRS CAP PRÓPRIO;-							  ;1000;BBAS3
185;03/08/1998;0,1577;JRS CAP PRÓPRIO;-							  ;1000;BBAS3
186;06/04/1998;0,1130;DIVIDENDO;-							  ;1000;BBAS3
187;29/09/1997;0,1125;DIVIDENDO;-							  ;1000;BBAS3
188;;;;;;BBAS3
189;2026;0,216;;;;BBAS3
190;2025;1,170;;;;BBAS3
191;2024;3,219;;;;BBAS3
192;2023;4,540;;;;BBAS3
193;2022;4,139;;;;BBAS3
194;2021;2,262;;;;BBAS3
195;2020;1,472;;;;BBAS3
196;2019;2,543;;;;BBAS3
197;2018;1,510;;;;BBAS3
198;2017;0,942;;;;BBAS3
199;2016;0,910;;;;BBAS3
200;2015;2,076;;;;BBAS3
201;2014;1,657;;;;BBAS3
202;2013;2,363;;;;BBAS3
203;2012;1,620;;;;BBAS3
204;2011;1,878;;;;BBAS3
205;2010;1,844;;;;BBAS3
