;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
90;14/11/2014;0,0557;DIVIDENDO;- ;1;BBAS3
91;11/09/2014;0,3365;JRS CAP PROPRIO;- ;1;BBAS3
92;19/08/2014;0,0774;DIVIDENDO;- ;1;BBAS3
93;11/06/2014;0,3210;JRS CAP PROPRIO;- ;1;BBAS3
94;19/05/2014;0,0812;DIVIDENDO;- ;1;BBAS3
95;11/03/2014;0,3147;JRS CAP PROPRIO;- ;1;BBAS3
96;13/02/2014;0,1302;DIVIDENDO;- ;1;BBAS3
97;11/12/2013;0,3097;JRS CAP PRÓPRIO;- ;1;BBAS3
98;21/11/2013;0,0666;DIVIDENDO;- ;1;BBAS3
99;11/09/2013;0,3138;JRS CAP PRÓPRIO;- ;1;BBAS3
100;22/08/2013;0,7698;DIVIDENDO;- ;1;BBAS3
101;11/06/2013;0,2820;JRS CAP PRÓPRIO;- ;1;BBAS3
102;21/05/2013;0,0982;DIVIDENDO;- ;1;BBAS3
103;11/03/2013;0,2649;JRS CAP PRÓPRIO;- ;1;BBAS3
104;01/03/2013;0,2581;DIVIDENDO;- ;1;BBAS3
105;12/12/2012;0,2972;JRS CAP PRÓPRIO;- ;1;BBAS3
106;16/11/2012;0,1069;DIVIDENDO;- ;1;BBAS3
107;11/09/2012;0,2858;JRS CAP PRÓPRIO;- ;1;BBAS3
108;21/08/2012;0,1224;DIVIDENDO;- ;1;BBAS3
109;21/06/2012;0,2968;JRS CAP PRÓPRIO;- ;1;BBAS3
110;10/05/2012;0,0633;DIVIDENDO;- ;1;BBAS3
111;22/03/2012;0,2933;JRS CAP PRÓPRIO;- ;1;BBAS3
112;17/02/2012;0,1545;DIVIDENDO;- ;1;BBAS3
113;21/12/2011;0,2774;JRS CAP PRÓPRIO;- ;1;BBAS3
114;17/11/2011;0,1259;DIVIDENDO;- ;1;BBAS3
115;21/09/2011;0,2782;JRS CAP PRÓPRIO;- ;1;BBAS3
116;18/08/2011;0,2081;DIVIDENDO;- ;1;BBAS3
117;21/06/2011;0,2575;JRS CAP PRÓPRIO;- ;1;BBAS3
118;19/05/2011;0,1570;DIVIDENDO;- ;1;BBAS3
119;22/03/2011;0,2531;JRS CAP PRÓPRIO;- ;1;BBAS3
120;21/02/2011;0,3207;DIVIDENDO;- ;1;BBAS3
121;22/12/2010;0,2397;JRS CAP PRÓPRIO;- ;1;BBAS3
122;22/11/2010;0,1314;DIVIDENDO;- ;1;BBAS3
123;22/09/2010;0,2356;JRS CAP PRÓPRIO;- ;1;BBAS3
124;18/08/2010;0,1974;DIVIDENDO;- ;1;BBAS3
125;24/05/2010;0,2045;JRS CAP PRÓPRIO;- ;1;BBAS3
126;21/05/2010;0,1729;DIVIDENDO;- ;1;BBAS3
127;24/03/2010;0,2017;JRS CAP PRÓPRIO;- ;1;BBAS3
128;25/02/2010;0,4612;DIVIDENDO;- ;1;BBAS3
129;21/12/2009;0,1862;JRS CAP PRÓPRIO;- ;1;BBAS3
130;12/11/2009;0,1229;DIVIDENDO;- ;1;BBAS3
131;21/09/2009;0,1854;JRS CAP PRÓPRIO;- ;1;BBAS3
132;13/08/2009;0,1882;DIVIDENDO;- ;1;BBAS3
133;22/06/2009;0,1777;JRS CAP PRÓPRIO;- ;1;BBAS3
134;14/05/2009;0,0851;DIVIDENDO;- ;1;BBAS3
135;23/03/2009;0,1744;JRS CAP PRÓPRIO;- ;1;BBAS3
136;19/02/2009;0,2991;DIVIDENDO;- ;1;BBAS3
137;22/12/2008;0,1600;JRS CAP PRÓPRIO;- ;1;BBAS3
138;13/11/2008;0,1341;DIVIDENDO;- ;1;BBAS3
139;23/09/2008;0,1597;JRS CAP PRÓPRIO;- ;1;BBAS3
140;15/08/2008;0,1159;DIVIDENDO;- ;1;BBAS3
141;23/06/2008;0,1428;JRS CAP PRÓPRIO;- ;1;BBAS3
142;14/05/2008;0,2242;DIVIDENDO;- ;1;BBAS3
143;20/03/2008;0,1451;JRS CAP PRÓPRIO;- ;1;BBAS3
144;26/02/2008;0,0532;DIVIDENDO;- ;1;BBAS3
145;21/12/2007;0,1400;JRS CAP PRÓPRIO;- ;1;BBAS3
146;13/11/2007;0,0857;DIVIDENDO;- ;1;BBAS3
147;21/09/2007;0,1346;JRS CAP PRÓPRIO;- ;1;BBAS3
148;14/08/2007;0,0390;DIVIDENDO;- ;1;BBAS3
149;21/06/2007;0,1336;JRS CAP PRÓPRIO;- ;1;BBAS3
150;15/05/2007;0,2938;DIVIDENDO;- ;1;BBAS3
151;21/03/2007;0,3890;JRS CAP PRÓPRIO;- ;1;BBAS3
152;27/02/2007;0,2191;DIVIDENDO;- ;1;BBAS3
153;21/12/2006;0,8256;JRS CAP PRÓPRIO;- ;1;BBAS3
154;14/08/2006;1,0566;DIVIDENDO;- ;1;BBAS3
155;14/08/2006;0,8492;JRS CAP PRÓPRIO;- ;1;BBAS3
156;19/04/2006;0,9412;DIVIDENDO;- ;1;BBAS3
157;20/02/2006;0,9255;JRS CAP PRÓPRIO;- ;1;BBAS3
158;20/02/2006;0,1627;DIVIDENDO;- ;1;BBAS3
159;15/08/2005;0,7858;JRS CAP PRÓPRIO;- ;1;BBAS3
160;21/02/2005;0,2819;JRS CAP PRÓPRIO;- ;1;BBAS3
161;22/12/2004;0,3490;JRS CAP PRÓPRIO;- ;1;BBAS3
162;17/08/2004;0,6147;JRS CAP PRÓPRIO;- ;1;BBAS3
163;17/02/2004;0,5789;JRS CAP PRÓPRIO;- ;1;BBAS3
164;14/08/2003;0,4398;JRS CAP PRÓPRIO;- ;1000;BBAS3
165;11/02/2003;0,3717;DIVIDENDO;- ;1000;BBAS3
166;27/08/2002;0,4136;DIVIDENDO;- ;1000;BBAS3
167;26/02/2002;0,2534;DIVIDENDO;- ;1000;BBAS3
168;24/08/2001;0,1036;DIVIDENDO;- ;1000;BBAS3
169;13/02/2001;0,1992;DIVIDENDO;- ;1000;BBAS3
170;08/08/2000;0,1479;JRS CAP PRÓPRIO;- ;1000;BBAS3
171;17/03/2000;0,1011;JRS CAP PRÓPRIO;- ;1000;BBAS3
172;26/07/1999;0,2159;JRS CAP PRÓPRIO;- ;1000;BBAS3
173;08/02/1999;0,1763;JRS CAP PRÓPRIO;- ;1000;BBAS3
174;03/08/1998;0,1577;JRS CAP PRÓPRIO;- ;1000;BBAS3
175;06/04/1998;0,1130;DIVIDENDO;- ;1000;BBAS3
176;29/09/1997;0,1125;DIVIDENDO;- ;1000;BBAS3
177;;;;;;BBAS3
178;2024;2,373;;;;BBAS3
179;2023;4,540;;;;BBAS3
180;2022;4,139;;;;BBAS3
181;2021;2,262;;;;BBAS3
182;2020;1,472;;;;BBAS3
183;2019;2,543;;;;BBAS3
184;2018;1,510;;;;BBAS3
185;2017;0,942;;;;BBAS3
186;2016;0,910;;;;BBAS3
187;2015;2,076;;;;BBAS3
188;2014;1,657;;;;BBAS3
189;2013;2,363;;;;BBAS3
190;2012;1,620;;;;BBAS3
191;2011;1,878;;;;BBAS3
192;2010;1,844;;;;BBAS3
